price_range;Brand;Model;RAM;Storage;Color
muito alto;Samsung;Galaxy Z Fold4;12;512;Green
baixo;Samsung;Galaxy A13;4;64;Black
baixo;TCL;305i;2;32;Black
baixo;Xiaomi;Redmi 10C;3;64;Blue
alto;Samsung;Galaxy S21;6;128;Gray
alto;Samsung;Galaxy S20;8;256;Blue
muito alto;Xiaomi;13;12;256;White
alto;Samsung;Galaxy S21;8;256;Purple
alto;Samsung;Galaxy Note 20;12;256;Black
baixo;Xiaomi;Redmi 9C;2;32;Gray
médio;Google;Pixel 4a;6;128;Black
médio;OPPO;A76;4;128;Black
baixo;Samsung;Galaxy A13;4;128;Blue
muito alto;Apple;iPhone 13;4;512;White
alto;Apple;iPhone 13;4;256;Green
alto;Realme;GT Neo 3;12;256;Blue
alto;Honor;70;8;256;Green
muito alto;Apple;iPhone 14;6;256;Yellow
baixo;Apple;iPhone 8;2;64;Gold
baixo;Apple;iPhone 8;2;64;Silver
baixo;POCO;M4;4;64;Blue
médio;Samsung;Galaxy S21;6;128;Gray
alto;Apple;iPhone 11;4;64;Red
médio;Realme;GT Master Edition;6;128;Black
muito alto;Samsung;Galaxy S20;8;128;Black
médio;Honor;Magic5;6;128;Green
alto;Samsung;S10+;6;128;White
médio;POCO;M5;4;128;Yellow
alto;Apple;iPhone 12;4;256;Gold
alto;Samsung;Galaxy S20;6;128;Red
médio;Xiaomi;Note 10S;6;128;Gray
muito alto;Google;Pixel 6;12;128;Black
alto;OPPO;Reno8;8;256;Green
baixo;Xiaomi;Redmi Note 11S;4;128;Black
baixo;POCO;M4;4;64;Black
alto;OPPO;X3;12;256;Black
muito alto;Samsung;Galaxy Z Fold4;12;256;Green
médio;Xiaomi;Redmi 10;4;128;White
alto;Huawei;P40;8;256;Black
baixo;Xiaomi;Redmi A2;2;32;Black
médio;Realme;C35;4;128;Green
médio;Motorola;Edge 30;8;128;Silver
alto;POCO;F5;8;256;White
médio;Samsung;Galaxy A53;6;128;White
médio;Xiaomi;Redmi Note 10;6;128;Gray
baixo;Apple;iPhone 7;2;128;Black
médio;Xiaomi;X3;6;128;Blue
alto;Samsung;Galaxy S22;8;256;Black
baixo;POCO;C40;4;64;Black
baixo;Xiaomi;Redmi 9A;2;32;Blue
muito alto;OnePlus;8;12;256;Blue
baixo;POCO;C40;3;32;Black
baixo;Apple;iPhone 7;2;128;Red
alto;Samsung;Galaxy S21;6;128;Purple
médio;Xiaomi;Mi 11i;8;128;Black
alto;Apple;11 Pro;4;64;Silver
médio;Honor;X8a;6;128;Turquoise
alto;POCO;F4;12;256;Silver
muito alto;Samsung;Galaxy S21;6;256;Gray
médio;Honor;X7;4;128;Black
médio;Realme;9 Pro;8;128;Green
muito alto;Apple;iPhone 13;4;512;Black
baixo;Samsung;Galaxy A13;3;32;Black
baixo;Xiaomi;9T;4;64;Blue
